capacity_factor,total_dg_capacity_kw,load_loss_risk_cost,overload_risk_cost,system_risk_cost
1.0,2400.0,81.48952468656952,0.31472095784956994,81.8042456444191
1.3,3120.0,88.77323749521503,0.11464836232904997,88.88788585754408
1.6,3840.0,84.73519757502018,0.027151391812087682,84.76234896683226
1.9,4560.0,89.83024547556113,0.0038640082091970234,89.83410948377032
2.2,5280.0,69.94450874743235,0.00021114018856244389,69.94471988762092
2.5,6000.0,68.44480398531651,0.0,68.44480398531651
2.8,6720.0,51.05064461031697,0.0,51.05064461031697
3.0,7200.0,33.01502582454378,0.0,33.01502582454378
