,R2_Score_Max2
654926,-999.0
688213,-999.0
688293,-999.0
688395,0.5877846194626373
688427,-999.0
688624,0.7112616757214619
688660,-999.0
688781,0.5489547343010261
764847,-999.0
809114,-0.06904406495081483
809115,0.05299205706004351
809116,0.015738160585837768
809117,0.3117293291016533
809118,-0.08590044940120944
809119,-0.018437832903219542
809120,-0.005412102510174099
809121,0.1174828221900236
809122,0.09209245579863246
809125,0.09316576702401946
809128,-0.1630759412767031
809129,0.16888128621300502
809130,-0.06090837860676723
809131,-0.1233633920676469
809132,0.30189358999425786
809133,0.12046315940692531
809134,-0.6813799383822943
809135,0.43482344029762
809136,-0.11640695694747016
809138,0.01933431718511247
809139,0.04422985919050981
809140,0.308233509663405
809141,0.2993476576348417
809142,-0.08250724639836848
809143,-0.19848572826032163
809144,-0.03748500149351264
809145,-0.01865171260632925
809146,0.12782020853390474
809147,-0.31623400199683527
809149,0.06770928340848215
809150,-0.2506321595744372
809151,0.22615250946029442
809152,0.10150933199038592
809153,0.15238585974691388
809154,-0.125672464434881
809155,0.10516116077697124
809156,0.021815747718596512
809158,0.010105943540285933
809160,0.035831097670926515
809162,-0.006809632996756854
809163,-0.23908005216912387
809165,0.1561985572904282
809166,0.04531056965175262
809167,-0.08750425875124579
809168,0.04776771692298376
809169,0.07607073721332624
809170,0.3134018257109401
809171,0.13752763642861987
809172,-0.06231521687995234
809173,-0.1674858236662884
809174,-0.011263451512429246
809175,0.2034880668893423
809177,-0.18762988426748772
809179,-0.0703175816168855
809181,-0.07303245396212676
809182,-0.13532091084398123
809183,-0.023635749604336675
809184,-0.28820803841271303
809185,-0.269733888155395
809186,-0.038613614401254326
809187,-0.22392879602349947
809188,-0.16037289737879523
809189,-0.17793542921927852
809190,0.1868623916363824
809191,0.03753144082396709
809192,-0.02979155429308289
809193,0.32271415033355133
809194,-0.5618300268219145
809195,0.05749615194511992
809196,0.2113167142705853
809197,-0.05875442987260171
809198,0.04748548051343204
809199,0.15286927834560504
809200,0.3696102833946151
809201,-0.42141519427799934
809202,0.093949373631116
809204,0.03433871574889824
809205,-0.09981675846367755
809206,0.2939775419089311
809207,0.22631920268077055
809208,0.6344898461190397
809209,-0.3501706046119708
809211,-999.0
809212,0.10098770563392179
809213,0.2459304143559986
809214,0.06763693815107286
809215,-0.12575626923093552
809216,0.15434999995758802
809218,0.13149384061249925
809219,0.18522756859600098
809220,-0.07220435981301065
809221,0.01618194918294602
809223,0.06869873882180677
809224,-999.0
809225,0.24784797047943607
809226,0.5145098042522862
809227,-0.149487234524198
809228,-0.5067598781929583
809230,-0.043576595785776995
809231,-0.022359846808257533
809233,0.09995606809150737
809234,-0.06766300161556837
809235,-0.019477129391759274
809236,0.047565212589943506
809237,0.0730549662059572
809238,-0.0229061093093208
809239,-0.11328880559793886
809240,-0.05433238155322795
809241,0.012536889696402431
809242,-0.4840809449529633
809243,0.09175160067806531
809244,-0.16176730866752886
809246,-3.6075031239521023
809247,0.37632486472650306
809248,0.1653215370663602
809249,0.08987316641599152
809250,0.001351227877734562
809251,0.10082480059637766
809252,0.10114967838279088
809253,0.20360720748138006
809254,0.37718636692679974
809255,0.08241545540378103
809256,-0.07890515837567147
809257,-0.21687884128829493
809258,0.22917913350594343
809259,-999.0
809260,0.06253719921307976
809262,0.1724983748697695
809263,0.18036930285981034
809264,-999.0
809265,0.02076784532723952
809266,-0.285905992829699
809267,0.12049812842847163
809268,-999.0
809269,0.10169129673941202
809271,-0.12336715037250112
809272,-0.02987402193081179
809273,0.09008028793243406
809274,0.14787912701093675
809275,0.17116127202635112
809276,0.3287464570907206
809277,-999.0
809278,0.2063031104884494
809279,0.10111597029630204
809280,-0.5551152095299596
809281,-0.23249431055831282
809282,0.1690429902735986
809283,0.21761072427754657
809284,-0.04618128331732163
809285,-0.019130972342762842
