,0
654926,-0.2760860553390938
688213,-0.2935869375327018
688293,-0.10460149370758187
688395,0.5724328684318721
688427,-0.25556005071145305
688624,0.4927109209251498
688660,-0.06825536558953949
688781,0.47090926927648535
764847,-0.14995413463123697
809114,-0.37420381295828964
809115,-0.0941816308550334
809116,-0.3136703127751961
809117,0.033931093754132724
809118,-0.31611379852735966
809119,-0.07513018107784708
809120,-0.032495358648259476
809121,-0.019394842500458642
809122,-0.802193870696893
809125,-0.19469513435921026
809128,-0.21121687557855284
809129,-0.15409416768164697
809130,-0.37949984314706153
809131,-0.08591008822312318
809132,0.21893443033713778
809133,-0.0811634132363297
809134,-0.8477581376995602
809135,0.0688172722799879
809136,-0.5974586659837495
809138,-0.0809210974794412
809139,-0.262118769746823
809140,0.010236901571197388
809141,-0.02913942686265525
809142,-0.5347591977434307
809143,-0.6197247156204271
809144,-0.3545470851654269
809145,-0.10293668908709752
809146,-0.4123253173508963
809147,-0.5240956305165676
809149,-0.07227349300616748
809150,-1.3534420517580865
809151,-0.10431718614042285
809152,-0.011416735094097241
809153,0.08121596837245504
809154,-0.3696576689508364
809155,-0.4243718962895624
809156,-0.06583615858593794
809158,-0.188987511879265
809160,-0.3812281200189307
809162,-0.2671852132336834
809163,-0.29324523928364155
809165,-0.05351395490613342
809166,-0.33897990338498896
809167,-0.048381014441745585
809168,-0.047407268612920994
809169,-0.49754055626978144
809170,0.19302020468906378
809171,-0.0693067904660325
809172,-0.11081478547230561
809173,-0.7996964029615146
809174,0.03144129141275087
809175,0.04429823349661388
809177,-1.802870616380587
809179,-0.1486227574663661
809181,-0.18633400883279028
809182,-0.3370360652816371
809183,-0.2704267055168772
809184,-0.49659878566960325
809185,-0.45736133173706617
809186,-0.14732892116497687
809187,-0.7221276312395775
809188,-0.3317732173901713
809189,-0.6644636803513411
809190,0.03007504336671407
809191,-0.11143573925829253
809192,-0.2684562472134622
809193,0.19528832429509546
809194,-0.9326343790990566
809195,-0.7143536169614197
809196,0.04996848156874245
809197,-0.24069180313078453
809198,-0.15840054772654222
809199,-0.4234619553321788
809200,0.02795885261758213
809201,-0.3638646926952309
809202,-0.3563363174621328
809204,-0.23699472181833015
809205,-0.3095914728124767
809206,0.07243441980540488
809207,-0.43336125242192414
809208,0.314179414092408
809209,-0.7393962611939282
809211,-0.5907322871578404
809212,-0.08605371903445747
809213,-0.1431530920838202
809214,-0.5117224359789345
809215,-0.3443913662008933
809216,-0.07257634042980232
809218,-0.8446885681611154
809219,-0.10022890974493848
809220,-0.16360094389669833
809221,-0.15511278424430364
809223,-0.1788102867928647
809224,-0.5126611395966276
809225,-0.08025473113924231
809226,0.2564195074200466
809227,-0.36617991288387475
809228,-0.8493690280704418
809230,-0.14859754548518
809231,-0.26894030242416345
809233,-0.042837127165743505
809234,-0.1351521846814674
809235,-0.14684383499983578
809236,-0.37231204376184457
809237,-0.24605730337476617
809238,-0.029216925154724738
809239,-0.12783241831648162
809240,-0.35200905591721776
809241,-0.04955066620893067
809242,-1.7594600713000275
809243,-0.3261685301845332
809244,-0.42646021795263245
809246,-3.792470857383532
809247,0.009788541691254538
809248,-0.012904158632491836
809249,-0.2604849322126963
809250,-0.2803509840813718
809251,-0.2861409030547033
809252,-0.37986318007211684
809253,-0.17851165330437868
809254,-0.13566616581556645
809255,-0.053396354649761335
809256,-0.2143903523515125
809257,-0.28306609476335987
809258,-0.0025254303349269147
809259,-0.04404253441711603
809260,-0.0265942063074891
809262,-0.057346951416901604
809263,0.004097298584196829
809264,-0.4523972611000464
809265,-0.2560422789290915
809266,-0.5119815094967273
809267,-0.11409167671773712
809268,-0.07807985569893772
809269,-0.8668494850584338
809271,-0.14461920628620062
809272,-0.13083753506603113
809273,-0.14351181160479598
809274,0.00022109151038429697
809275,-0.12727265566885437
809276,-0.08339213320321104
809277,-0.15230608358876685
809278,-0.07371483246175692
809279,0.06256560986055038
809280,-1.478678477927136
809281,-1.0457949180371124
809282,0.032563241987308866
809283,0.07675638451793032
809284,-0.3389299009137532
809285,-0.0766188316996943
