,0
654926,-0.35810294667470033
688213,-0.29668624933168064
688293,-0.06403790196091608
688395,0.5984192156258064
688427,-0.14842841932958795
688624,0.5452938436166047
688660,-0.0207239460663744
688781,0.554131562729091
764847,0.05871379768669682
809114,-0.20643900351094802
809115,-0.04525834142182328
809116,-0.23912266460675502
809117,-0.09808346387601752
809118,-0.16638813738042613
809119,-0.06375514000544191
809120,-0.050853223570386685
809121,-0.05183009271875694
809122,-0.25526776142372687
809125,-0.07941332409201607
809128,-0.0669791390801251
809129,-0.16464039397504693
809130,-0.3471467799247723
809131,-0.07257492945963118
809132,0.19153525116675585
809133,-0.00463163108896536
809134,-0.970044226173769
809135,0.08403340951977778
809136,-0.40273564486215685
809138,-0.07069870254786803
809139,-0.18398729489718613
809140,-0.026967952510590365
809141,0.0007841087935788194
809142,-0.5467729816014777
809143,-0.4733147649372984
809144,-0.17423536842104936
809145,0.010555119210791775
809146,-0.1828466158632034
809147,-0.35386310444910696
809149,-0.023272626351356518
809150,-1.0079508826939039
809151,-0.049058320097694175
809152,-0.004397555478059756
809153,0.08033874374623928
809154,-0.2344190940964308
809155,-0.27787619558741006
809156,-0.0295262764749622
809158,-0.08193974946623883
809160,-0.25797600436843515
809162,-0.12285452877437053
809163,-0.24491118448834537
809165,-0.06488110464896524
809166,-0.21885648034112548
809167,0.0026894884294377253
809168,-0.12507514126460073
809169,-0.3494791963867103
809170,0.13574792226401267
809171,-0.08651321770407439
809172,-0.06714045350759812
809173,-0.5954706202685935
809174,0.01292794831153643
809175,0.07561586426763545
809177,-1.225139561455133
809179,-0.22679270951056885
809181,-0.14343892157195204
809182,-0.17575976914684577
809183,-0.18039925225339082
809184,-0.3628512558940231
809185,-0.27258909142522203
809186,-0.06750882059060048
809187,-0.5076833264544662
809188,-0.1676478744000045
809189,-0.49594721266291164
809190,0.043574694366568245
809191,-0.0970005335855646
809192,-0.22408249162988914
809193,0.11155052449822023
809194,-0.6924048914640986
809195,-0.5419604908373274
809196,-0.07016835214574191
809197,-0.1621927431602408
809198,-0.14320695275937467
809199,-0.18872045166319373
809200,0.11290021287761776
809201,-0.30828863387056726
809202,-0.37583687790700515
809204,-0.10357172937742853
809205,-0.16431576528874414
809206,0.1587652971454857
809207,-0.3538814085650168
809208,0.046292292544124924
809209,-0.48650978018340063
809211,-0.3618087265284837
809212,-0.15287714536726327
809213,-0.05524293085805598
809214,-0.28774056241880897
809215,-0.24344085983533192
809216,-0.07018464043357264
809218,-0.49102989552554743
809219,-0.08720987234261868
809220,-0.1803143940163916
809221,-0.09403406459263608
809223,-0.10075671078260995
809224,-0.33402521128563234
809225,0.002919873188176547
809226,0.011191369612081337
809227,-0.27553434203024496
809228,-0.5580717998829705
809230,-0.09220019747572161
809231,-0.27306702646986336
809233,-0.022207728695934126
809234,-0.13350804022640106
809235,-0.049893871634916875
809236,-0.3898784427392994
809237,-0.0671910794133912
809238,-0.05014394421519297
809239,-0.06515143524957323
809240,-0.2167962216460404
809241,0.016185530990429853
809242,-1.723921089207253
809243,-0.2991032366615656
809244,-0.299633214355679
809246,-3.1481030580940734
809247,-0.04472914691247598
809248,-0.03417432230063744
809249,-0.15634582370456718
809250,-0.20396161851480366
809251,-0.35252399840506454
809252,-0.2153120897933698
809253,-0.0669230255277875
809254,-0.06085721466069849
809255,-0.027928663348254945
809256,-0.11368719256504756
809257,-0.2250567376760897
809258,-0.001020782213847271
809259,-0.018338534733329137
809260,-0.09902526713239657
809262,-0.032933273688926956
809263,-0.00587403731671432
809264,-0.28063704352099417
809265,-0.1575839591430166
809266,-0.39641723614338176
809267,-0.1424621140310951
809268,-0.06716090768673522
809269,-0.7106185904544546
809271,-0.10978922393041746
809272,-0.0802311467473722
809273,-0.16895607910683408
809274,-0.04140339111441249
809275,-0.03591229000800311
809276,-0.16923319711592244
809277,-0.07153767625616769
809278,-0.052294401884711794
809279,0.03855081325919807
809280,-0.9799822105066993
809281,-0.7481653046476373
809282,0.07055803824565854
809283,0.12631118510379036
809284,-0.23742089398544763
809285,-0.081950449200481
