parameter_value,load_loss_risk_cost,overload_risk_cost,system_risk_cost
0.001,60.04366650300227,0.3115674744729875,60.35523397747526
0.002,105.31094867969671,0.3111264275392183,105.62207510723593
0.003,139.72044209953904,0.3177131265968788,140.03815522613593
0.004,159.733746628052,0.31155235402711956,160.04529898207912
0.005,210.5093657212645,0.3067269175926532,210.81609263885713
